text,label
ຄັນນາຍໝື່ນລ້ານຕຳຫຼວດເອກຜູ້ນິໄດ້ລົງກວດວຽກເອງລະຢາກວ່າ ແຈບເບີດທຸກຄົນໂລດນະ,2
ຄອບຄົວມີເງິນຊື້ລົດໃຫຍ່ໃຫ້ຂັບ ແຕ່ເຂົາລືມສອນເລື່ອງມາລະຍາດ ຄວາມຮັບຜິດຊອບ ສາມັນສຳນຶກຕໍ່ຄວາມປອດໄພຂອງຄົນອື່ນໃຫ້ແດ່ເບາະ ? ຈຶ່ງພາກັນຂັບລົດປະມາດແບບນີ້,0
ຊື້ທຸລຽນຫວານໆ ຊ່ວຍກຳມະການຕ້ອມເພີ່ນແດ່ ຖ້າຂາຍບໍ່ໝົດເມຍເພີ່ນ ບໍ່ໃຫ້ເຂົ້າເຮືອນ ເພີ່ນກະຊິຊ່ວຍປູນປະທານເຮັດທາງໃຫ້ປະຊາຊົນນຳ,2
ຂ້ອຍມີຄວາມສຸກຫຼາຍໃນມື້ນີ້,2
ຂໍຂອບໃຈສໍາລັບການຊ່ວຍເຫຼືອຈາກເຈົ້າ,2
ວິວທີ່ນີ້ງາມຫຼາຍ,2
ຂ້ອຍຮູ້ສຶກດີກັບຜົນງານນີ້,2
ເຮືອນໃໝ່ຂອງຂ້ອຍນ່າຮັກແລະສະດວກ,2
ຂ້ອຍຮູ້ສຶກເສົ້າໃຈຫຼາຍ,0
ມື້ນີ້ເປັນມື້ທີ່ແຍ່,0
ຂ້ອຍບໍ່ພໍໃຈກັບການບໍລິການ,0
ອາຫານບໍ່ອົດອວນແລະບໍ່ອາດທານໄດ້,0
ຂ້ອຍເມື່ອຍແລະຜິດຫວັງໃນໂຕເຈົ້າ,0
ຂ້ອຍກຳລັງເຮັດວຽກບ້ານ,1
ມື້ນີ້ເປັນວັນຈັນ,1
ເຂົ້າຮຽນ 8 ໂມງເຊົ້າຕົ້ນຕໍ່,1
ຂ້ອຍໄປຕະຫຼາດທຸກມື້,1
ນັກຮຽນທຸກຄົນຄວນໃສ່ເສື້ອນັກຮຽນ,1
ເຈົ້າໜ້າຮັກຄືໝາ,0
ພໍ່ມຶ່ງຕາຍ,0
ບັກຫຳນ້ອຍ,1
ລູກບໍ່ມີພໍ່,0
ບັກໂລກຈິດ,0
ຮູບເງົາເລື່ອງນັ້ນເປັນການເສຍເວລາຢ່າງສິ້ນເຊີງ,0
ທຸກຢ່າງແມ່ນໄປຕາມແຜນການ,2
ບົດລາຍງານໄດ້ຖືກສົ່ງໃຫ້ທັນເວລາ,1
ສະບາຍດີຕອນເຊົ້າ ອ້າຍເອື້ອຍນ້ອງ,1
