text,label
ຄັນນາຍໝື່ນລ້ານຕຳຫຼວດເອກຜູ້ນິໄດ້ລົງກວດວຽກເອງລະຢາກວ່າ ແຈບເບີດທຸກຄົນໂລດນະ,positive
ຄອບຄົວມີເງິນຊື້ລົດໃຫຍ່ໃຫ້ຂັບ ແຕ່ເຂົາລືມສອນເລື່ອງມາລະຍາດ ຄວາມຮັບຜິດຊອບ ສາມັນສຳນຶກຕໍ່ຄວາມປອດໄພຂອງຄົນອື່ນໃຫ້ແດ່ເບາະ ? ຈຶ່ງພາກັນຂັບລົດປະມາດແບບນີ້,negative
ຊື້ທຸລຽນຫວານໆ ຊ່ວຍກຳມະການຕ້ອມເພີ່ນແດ່ ຖ້າຂາຍບໍ່ໝົດເມຍເພີ່ນ ບໍ່ໃຫ້ເຂົ້າເຮືອນ ເພີ່ນກະຊິຊ່ວຍປູນປະທານເຮັດທາງໃຫ້ປະຊາຊົນນຳ,positive
ຂ້ອຍມີຄວາມສຸກຫຼາຍໃນມື້ນີ້,positive
ຂໍຂອບໃຈສໍາລັບການຊ່ວຍເຫຼືອຈາກເຈົ້າ,positive
ວິວທີ່ນີ້ງາມຫຼາຍ,positive
ຂ້ອຍຮູ້ສຶກດີກັບຜົນງານນີ້,positive
ເຮືອນໃໝ່ຂອງຂ້ອຍນ່າຮັກແລະສະດວກ,positive
ຂ້ອຍຮູ້ສຶກເສົ້າໃຈຫຼາຍ,negative
ມື້ນີ້ເປັນມື້ທີ່ແຍ່,negative
ຂ້ອຍບໍ່ພໍໃຈກັບການບໍລິການ,negative
ອາຫານບໍ່ອົດອວນແລະບໍ່ອາດທານໄດ້,negative
ຂ້ອຍເມື່ອຍແລະຜິດຫວັງໃນໂຕເຈົ້າ,negative
ຂ້ອຍກຳລັງເຮັດວຽກບ້ານ,neutral
ມື້ນີ້ເປັນວັນຈັນ,neutral
ເຂົ້າຮຽນ 8 ໂມງເຊົ້າຕົ້ນຕໍ່,neutral
ຂ້ອຍໄປຕະຫຼາດທຸກມື້,neutral
ນັກຮຽນທຸກຄົນຄວນໃສ່ເສື້ອນັກຮຽນ,neutral
ເຈົ້າໜ້າຮັກຄືໝາ,negative
ພໍ່ມຶ່ງຕາຍ,negative
ບັກຫຳນ້ອຍ,neutral
ລູກບໍ່ມີພໍ່,negative
ບັກໂລກຈິດ,negative
ຮູບເງົາເລື່ອງນັ້ນເປັນການເສຍເວລາຢ່າງສິ້ນເຊີງ,negative
ທຸກຢ່າງແມ່ນໄປຕາມແຜນການ,positive
ບົດລາຍງານໄດ້ຖືກສົ່ງໃຫ້ທັນເວລາ,neutral
ສະບາຍດີຕອນເຊົ້າ ອ້າຍເອື້ອຍນ້ອງ,neutral
ໃຜຢາກເອົາເງິນເຂົ້າບັນຊີທັກສ່ວນໂຕໄດ້ເດີ,neutral
ປີກາຍອ້າຍໂຕ້ຕົວະຫລາຍຈົນເລີ່ມລະແວງ,negative
ເຊີນເດີ່ທຸກຄົນຮອດເວລາແລ້ວ,positive
ແຈ້ງເຖິງສະມາຊິກທຸກທ່ານເຖິງເວລາລວມແລ້ວເດີ້ເຈົ້າ ເລຂາຊາວໜຸ່ມສະຖານທູດເພິ່ນມາຖ້າແລ້ວ,positive
ດຽວຜ່ານມາ 4negativeນາທີແລ້ວ ຍັງບໍ່ເຫັນໃຜຂື້ນມາກຽມຫ້ອງປະຊຸມ,negative
ຂ້າພະເຈົ້າຂໍອານຸຍາດບໍ່ໄດ້ເຂົ້າຮ່ວມເກີເພາະມີຮຽນ ແຈ້ງຄະນະເຂົ້າຮ່ວມແທນ,neutral
ຕອນນີ້ແມ່ນຮອດໂມງລະເດີ້ ໃຫ້ທຸກຄົນຂື້ນມາກະກຽມຫ້ອງປະຊຸມ ຊັ້ນ4 A3 bis ຊ່ວຍກັນເດີ້ເຈົ້າ ເພື່ອຈະໄດ້ແລ້ວໄວໆ ( ຂໍຂອບໃຈ ),neutral
ມື້ອື່ນ ທີ່3negative ເດືອນnegative3 ປີ positivenegativepositive5 ເວລາ 9ໂມງ ທາງເຮົາຈະໄດ້ມີການກະກຽມຫ້ອງປະຊຸມ ລົບກວນສະມາຊິກທຸກທ່ານ ແລະ ສະມາຊິກທີ່ຖືກແຕ່ງຕັ້ງຮັບຜິດຊອບ ເຂົ້າຮ່ວມກະກຽມງານຊ່ວຍກັນເດີ້ເຈົ້າ ( ຂໍຂອບໃຈ ),neutral
ສະບາຍດີທຸກຄົນ ມີໃຜຫຼົງຍິບໝວກກັນນັອກເຮົາໄປບໍ່ເຮົາເກາະໄວ້ລົດແລ້ວຫາຍ,neutral
ຂໍອານຸຍາດກຸ່ມ ຕາມຫາເຈົ້າຂອງລົດລືມກະແຈຄາໄວ້,positive
ຂໍຖາມແດ່ ມີໃຜຂາຍເຂົ້າປຽກສຳເລັດຮູບບໍ່?,neutral
ວັນທີ່ 6 ເດືອນ 3 ຮອດຫວຽດນາມ,neutral
ສະບາຍດີອ້າຍນ້ອງຜູ້ທີ່ມີລາຍຊື່ລົງສະໝັກຄະນະນັກສຶກຊຸດໃໝ່ມາຫວຽດນາມເບີດທຸກຄົນແລ້ວບໍ?,neutral
ເອື້ອຍເຮົາຫາເຕົ້າໂຮມນັກສຶກສາລາວໃຫ້ເຮົາແດ່ເດີ ເຮົາເສັງແລ້ວຈຶ່ງໄດ້ເຂົ້າໄປ,neutral
ຄົນມີລາຍຊື່ໄປເຕົ້າໂຮມຢູ່ Cpositive ເດີ,neutral
ດ໋ຽວບອກອາຈານໃຫ້ເນີເເລ້ວຢ່າລືມເຂົ້າລົງທະບຽນຊື່ເເດ່ເນີ,neutral
ເພງໃດກະໄດ້ ຄີໃດກະໄດ້ ຕາມແຕ່ຝ່າຍຍິງຖະຫນັດກ່ອນ,neutral
