text,label
ຄັນນາຍ ໝື່ນ ລ້ານ ຕຳຫຼວດ ເອກ ຜູ້ ນິ ລົງ ກວດ ວຽກ ເອງ ລະ ຢາກວ່າ ແຈບ ເບີດ ຄົນ ໂລດ ນະ,positive
ຄອບຄົວ ມີ ເງິນ ຊື້ ລົດໃຫຍ່ ຂັບ ເຂົາ ລືມ ສອນ ເລື່ອງ ມາລະຍາດ ຄວາມຮັບຜິດຊອບ ສາມັນສຳນຶກ ຕໍ່ ຄວາມປອດໄພ ຄົນອື່ນ ແດ່ ເບາະ ພາກັນ ຂັບ ລົດ ປະມາດ ແບບ,negative
ຊື້ ທຸລຽນ ຫວານ ໆ ກຳມະການຕ້ອມ ເພີ່ນ ແດ່ ຖ້າ ຂາຍ ໝົດ ເມຍ ເພີ່ນ ບໍ່ໃຫ້ ເຂົ້າ ເຮືອນ ເພີ່ນ ກະ ຊິ ປູນ ປະທານ ເຮັດ ທາງ ປະຊາຊົນ ນຳ,positive
ມີ ຄວາມສຸກ ມື້ນີ້,positive
ຂໍ ຂອບໃຈ ການຊ່ວຍເຫຼືອ ເຈົ້າ,positive
ວິວ ນີ້ງາມ,positive
ຮູ້ສຶກ ດີ ຜົນ ງານ,positive
ເຮືອນ ໃໝ່ ນ່າ ຮັກ ສະດວກ,positive
ຮູ້ສຶກ ເສົ້າໃຈ,negative
ມື້ນີ້ ມື້ ແຍ່,negative
ບໍ່ພໍໃຈ ການບໍລິການ,negative
ອາຫານ ອົດ ອວນ ທານ,negative
ເມື່ອຍ ຜິດຫວັງ ໂຕ ເຈົ້າ,negative
ເຮັດວຽກບ້ານ,neutral
ມື້ນີ້ ວັນຈັນ,neutral
ເຂົ້າ ຮຽນ ໂມງ ເຊົ້າ ຕົ້ນຕໍ່,neutral
ຕະຫຼາດ ທຸກມື້,neutral
ນັກຮຽນ ຄົນ ຄວນ ໃສ່ ເສື້ອ ນັກຮຽນ,neutral
ເຈົ້າ ໜ້າ ຮັກ ໝາ,negative
ພໍ່ ມຶ່ງ ຕາຍ,negative
ບັກ ຫຳ ນ້ອຍ,neutral
ລູກ ບໍ່ມີ ພໍ່,negative
ບັກ ໂລກຈິດ,negative
ຮູບເງົາ ເລື່ອງ ການເສຍເວລາ ຢ່າງ ສິ້ນເຊີງ,negative
ທຸກຢ່າງ ແມ່ນ ໄປຕາມ ແຜນການ,positive
ບົດ ລາຍງານ ຖືກ ສົ່ງໃຫ້ ທັນ,neutral
ສະບາຍດີ ຕອນເຊົ້າ ອ້າຍເອື້ອຍນ້ອງ,neutral
ໃຜ ຢາກ ເອົາເງິນ ເຂົ້າ ບັນຊີ ທັກ ສ່ວນໂຕ ເດີ,neutral
ປີກາຍ ອ້າຍ ໂຕ້ ຕົວະ ຫລາຍ ຈົນ ເລີ່ມ ລະແວງ,negative
ເຊີນ ເດີ ່ ຄົນ ຮອດ,positive
ແຈ້ງ ເຖິງ ສະມາຊິກ ເຖິງ ລວມ ເດີ້ ເຈົ້າ ເລຂາ ຊາວໜຸ່ມ ສະຖານທູດ ເພິ່ນ ຖ້າ,positive
ດຽວ ຜ່ານ ມານາທີ ແລ້ວຍັງ ບໍ່ເຫັນ ໃຜ ຂື້ນ ມາກຽມ ຫ້ອງ ປະຊຸມ,negative
ຂ້າພະເຈົ້າ ຂໍ ອານຸຍາດ ບໍ່ໄດ້ ເຂົ້າຮ່ວມ ເກີ ມີ ຮຽນ ແຈ້ງ ເຂົ້າຮ່ວມ ແທນ,neutral
ຕອນ ແມ່ນ ຮອດ ໂມງ ລະ ເດີ້ ຄົນ ຂື້ນ ມາກະກຽມ ຫ້ອງ ປະຊຸມ ຊັ້ນ ເດີ້ ເຈົ້າ ໄວ ໆ ຂໍ ຂອບໃຈ,neutral
ມື້ອື່ນ ທີ່ເດືອນ ປີ ໂມງ ທາງ ມີການກະກຽມ ຫ້ອງ ປະຊຸມ ລົບກວນ ສະມາຊິກ ສະມາຊິກ ຖືກ ແຕ່ງຕັ້ງ ຮັບຜິດຊອບ ເຂົ້າຮ່ວມ ກະກຽມ ງານ ເດີ້ ເຈົ້າ ຂໍ ຂອບໃຈ,neutral
ສະບາຍດີ ຄົນມີ ໃຜ ຫຼົງ ຍິບ ໝວກ ນັອກ ເກາະ ໄວ້ ລົດ ຫາຍ,neutral
ຂໍ ອານຸຍາດ ກຸ່ມ ຕາມ ຫາ ເຈົ້າຂອງ ລົດ ລືມ ກະແຈ ຄາ ໄວ້,positive
ຂໍ ຖາມ ແດ່ ມີ ໃຜ ຂາຍເຂົ້າປຽກ ສຳເລັດຮູບ,neutral
ວັນທີ່ເດືອນ ຮອດ ຫວຽດນາມ,neutral
ສະບາຍດີ ອ້າຍ ນ້ອງ ຜູ້ ທີ່ມີ ລາຍຊື່ ລົງ ສະໝັກ ນັກ ສຶກ ຊຸດ ໃໝ່ ຫວຽດນາມ ເບີດ ຄົນ ບໍ,neutral
ເອື້ອຍ ຫາ ເຕົ້າໂຮມ ນັກສຶກສາລາວ ແດ່ ເດີ ເສັງ ແລ້ວຈຶ່ງ ເຂົ້າໄປ,neutral
ຄົນມີ ລາຍຊື່ ເຕົ້າໂຮມ ເດີ,neutral
ດ໋ຽວ ບອກ ອາຈານ ເນີ ເ ເລ້ວ ຢ່າ ລືມ ເຂົ້າ ລົງທະບຽນ ຊື່ ເ ເດ່ ເນີ,neutral
ເພງ ກະໄດ້ ຄີ ກະໄດ້ ຕາມ ຝ່າຍຍິງ ຖະຫນັດ,neutral
ສະບາຍດີ ຄົນ,neutral
ອີງ ຕາມ ການຮຽກຮ້ອງ ຕ້ອງການອ້າຍ ນ້ອງ ນັກສຶກສາມ ລ ເຂົ້າຮ່ວມ ງາມ ພົບປະ ອ້າຍ ນ້ອງ ສະມາຄົມ ມິດຕະພາບ ຫວຽດນາມ ລາວ ຄົບຮອບ ປີ,positive
ມລ ໃຜ ສົນໃຈ ເຂົ້າຮ່ວມ ເ ເຈ້ງ ຂື່ ເດີ ຕາງໜ້າ ຄົນ,neutral
ຂຽນ ເ ເລ້ວ ເກັບເອົາ ເນີ ເ ເອມ,neutral
ໃຜ ເພື່ອນ ຫລື ຮູ້ຈັກ ລາວ ຕອບ,neutral
ຄົນ ດຽວ ລາວ ບໍ່ໄດ້ ຕື່ມ,neutral
ສະບາຍດີ ອ້າຍ ນ້ອງ ນັກສຶກສາ ໃໝ່ ທີ່ມີ ຊື່ ລຸ່ມ ທາງ ນັກສຶກສາ ຢາກ ວ່າ ແຕ່ລະ ຄົນ ພັກ ຫ້ອງ ອາຄານ ລົບກວນ ຕອບ ແດ່ ເດີ ຂໍ ຂອບໃຈ,neutral
ດຽວ ນ້ອງ ຕື່ມ ເດີ້,neutral
ໜູ ່ ຄູ ຝ ເພື່ອນ ຫ້ ອ ວ ພັກ ດຽວກັນ ກະ ບອກ ແດ່,neutral
ສາມາດ ຕື່ມ ຂໍ້ ຕາມ ລີ້ ງ ເລີຍ,neutral
ມອບໃຫ້ ປະທານ ໃຫມ່ ເນີ,neutral
ຢ່າ ລືມ ໂມງ ເປັນຕົ້ນ ຮ້ານອາຫານ ຂ້າງ ເດີ່ນ ບານ,neutral
ຄົນ ສາມາດ ໂອນ ເງິນ ຜ່ານ ທາງ ດ້ານ ລຸ່ມ ຫລື ໃຜ ສະດວກ ໂອນ ສາມາດ ເອົາ ນ້ອງ ພາຍໃນງານ ເລີຍ ເດີ ຂໍ ຂອບໃຈ,neutral
ອ້າຍເອື້ອຍນ້ອງ ໃຜ ບໍ່ໄດ້ ໂຫວດ ຮີບ ໂຫວດ ເດີ ໃກ້ ຊິ ໝົດ,neutral
ກະ ເບິ່ງ ໂຕຈິງ ຖ້າວ່າງົບ ມີ ພໍໃຊ້ ກະບໍ່ ຈຳເປັນ ເກັບ,neutral
ເກັບ ເງີນ ຈັດງານ ສາມັກຄີ,neutral
ອ້າຍເອື້ອຍນ້ອງ ມລ ເຫັນດີນຳ,neutral
ສະບາຍດີ ຄົນ ໃຜ ຍັງບໍ່ທັນ ຕື່ມ ຂໍ້ມູນ ຕົນເອງ ແມ່ນ ຮີບຮ້ອນ ຕື່ມ ເດີ ທາງ ທູດ ເພິ່ນ ຖາມ ນຳ,neutral
ດ່ວນ ໆ ແຂກ,negative
ອ້າຍ ທົງ ບອກ ເອົາເງິນເດືອນ ເດີ ອ້າຍ ໆ ຜູ້ ຫາກໍ່ ຈົບ,positive
ກິນ ທອມ ປະຊຸມ ຫວາ,negative
ຄັນ ມັນ ມັນ ຊິ ຈ່າຍຄ່າ ເດີ່ນ,negative
ບັກ ຫ່າ ໃຫມ່ ມັນ ຊິ ເຕະ ນຳ ເດີ,positive
